category,id,group,prompt,angle,distance,lighting,background,expression
models,m_cauz_20s_slim__000,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain white t-shirt and dark grey trousers, headshot, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,headshot,soft diffused daylight,plain light grey studio backdrop,neutral
models,m_cauz_20s_slim__001,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain black t-shirt and blue jeans, headshot, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,headshot,hard directional sunlight,warm beige wall,neutral
models,m_cauz_20s_slim__002,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain navy long-sleeve top and beige trousers, headshot, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,headshot,strong side light,white seamless studio,neutral
models,m_cauz_20s_slim__003,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain grey knit top and black trousers, headshot, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,headshot,rim light from behind,blurred outdoor street,neutral
models,m_cauz_20s_slim__004,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain olive shirt and dark jeans, half body, from the waist up, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,soft diffused daylight,blurred plain interior,neutral
models,m_cauz_20s_slim__005,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain white t-shirt and dark grey trousers, half body, from the waist up, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,hard directional sunlight,soft gradient backdrop,neutral
models,m_cauz_20s_slim__006,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain black t-shirt and blue jeans, half body, from the waist up, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,strong side light,plain light grey studio backdrop,neutral
models,m_cauz_20s_slim__007,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain navy long-sleeve top and beige trousers, half body, from the waist up, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,half body,rim light from behind,warm beige wall,neutral
models,m_cauz_20s_slim__008,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain grey knit top and black trousers, half body, from the waist up, three-quarter view turned to the right, soft diffused daylight, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,half body,soft diffused daylight,white seamless studio,neutral
models,m_cauz_20s_slim__009,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain olive shirt and dark jeans, half body, from the waist up, near profile view, hard directional sunlight, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,half body,hard directional sunlight,blurred outdoor street,neutral
models,m_cauz_20s_slim__010,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain white t-shirt and dark grey trousers, half body, from the waist up, shot from slightly above eye level, strong side light, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,strong side light,blurred plain interior,neutral
models,m_cauz_20s_slim__011,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain black t-shirt and blue jeans, half body, from the waist up, shot from slightly below eye level, rim light from behind, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,rim light from behind,soft gradient backdrop,neutral
models,m_cauz_20s_slim__012,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain navy long-sleeve top and beige trousers, half body, from the waist up, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,soft diffused daylight,plain light grey studio backdrop,neutral
models,m_cauz_20s_slim__013,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain grey knit top and black trousers, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,neutral
models,m_cauz_20s_slim__014,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain olive shirt and dark jeans, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,neutral
models,m_cauz_20s_slim__015,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,neutral
models,m_cauz_20s_slim__016,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain black t-shirt and blue jeans, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,neutral
models,m_cauz_20s_slim__017,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,neutral
models,m_cauz_20s_slim__018,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain grey knit top and black trousers, full body, head to feet, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,strong side light,plain light grey studio backdrop,neutral
models,m_cauz_20s_slim__019,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain olive shirt and dark jeans, full body, head to feet, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,rim light from behind,warm beige wall,neutral
models,m_cauz_20s_slim__020,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, three-quarter view turned to the right, soft diffused daylight, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,soft diffused daylight,white seamless studio,a slight natural smile
models,m_cauz_20s_slim__021,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain black t-shirt and blue jeans, full body, head to feet, near profile view, hard directional sunlight, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,hard directional sunlight,blurred outdoor street,a slight natural smile
models,m_cauz_20s_slim__022,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, shot from slightly above eye level, strong side light, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,strong side light,blurred plain interior,a slight natural smile
models,m_cauz_20s_slim__023,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain grey knit top and black trousers, full body, head to feet, shot from slightly below eye level, rim light from behind, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,rim light from behind,soft gradient backdrop,a slight natural smile
models,m_cauz_20s_slim__024,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain olive shirt and dark jeans, full body, head to feet, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,soft diffused daylight,plain light grey studio backdrop,a slight natural smile
models,m_cauz_20s_slim__025,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,a slight natural smile
models,m_cauz_20s_slim__026,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain black t-shirt and blue jeans, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,a slight natural smile
models,m_cauz_20s_slim__027,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,a slight natural smile
models,m_cauz_20s_slim__028,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain grey knit top and black trousers, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,a slight natural smile
models,m_cauz_20s_slim__029,m_cauz_20s_slim,"photorealistic photograph of a Central Asian man in his early 20s, slim build, light olive skin, short black hair, clean shaven, a narrow face and sharp cheekbones, wearing a plain olive shirt and dark jeans, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,a slight natural smile
models,m_cauz_30s_avg__000,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain white t-shirt and dark grey trousers, headshot, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,headshot,soft diffused daylight,plain light grey studio backdrop,neutral
models,m_cauz_30s_avg__001,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain black t-shirt and blue jeans, headshot, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,headshot,hard directional sunlight,warm beige wall,neutral
models,m_cauz_30s_avg__002,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain navy long-sleeve top and beige trousers, headshot, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,headshot,strong side light,white seamless studio,neutral
models,m_cauz_30s_avg__003,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain grey knit top and black trousers, headshot, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,headshot,rim light from behind,blurred outdoor street,neutral
models,m_cauz_30s_avg__004,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain olive shirt and dark jeans, half body, from the waist up, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,soft diffused daylight,blurred plain interior,neutral
models,m_cauz_30s_avg__005,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain white t-shirt and dark grey trousers, half body, from the waist up, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,hard directional sunlight,soft gradient backdrop,neutral
models,m_cauz_30s_avg__006,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain black t-shirt and blue jeans, half body, from the waist up, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,strong side light,plain light grey studio backdrop,neutral
models,m_cauz_30s_avg__007,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain navy long-sleeve top and beige trousers, half body, from the waist up, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,half body,rim light from behind,warm beige wall,neutral
models,m_cauz_30s_avg__008,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain grey knit top and black trousers, half body, from the waist up, three-quarter view turned to the right, soft diffused daylight, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,half body,soft diffused daylight,white seamless studio,neutral
models,m_cauz_30s_avg__009,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain olive shirt and dark jeans, half body, from the waist up, near profile view, hard directional sunlight, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,half body,hard directional sunlight,blurred outdoor street,neutral
models,m_cauz_30s_avg__010,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain white t-shirt and dark grey trousers, half body, from the waist up, shot from slightly above eye level, strong side light, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,strong side light,blurred plain interior,neutral
models,m_cauz_30s_avg__011,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain black t-shirt and blue jeans, half body, from the waist up, shot from slightly below eye level, rim light from behind, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,rim light from behind,soft gradient backdrop,neutral
models,m_cauz_30s_avg__012,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain navy long-sleeve top and beige trousers, half body, from the waist up, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,soft diffused daylight,plain light grey studio backdrop,neutral
models,m_cauz_30s_avg__013,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain grey knit top and black trousers, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,neutral
models,m_cauz_30s_avg__014,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain olive shirt and dark jeans, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,neutral
models,m_cauz_30s_avg__015,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,neutral
models,m_cauz_30s_avg__016,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain black t-shirt and blue jeans, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,neutral
models,m_cauz_30s_avg__017,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,neutral
models,m_cauz_30s_avg__018,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain grey knit top and black trousers, full body, head to feet, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,strong side light,plain light grey studio backdrop,neutral
models,m_cauz_30s_avg__019,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain olive shirt and dark jeans, full body, head to feet, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,rim light from behind,warm beige wall,neutral
models,m_cauz_30s_avg__020,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, three-quarter view turned to the right, soft diffused daylight, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,soft diffused daylight,white seamless studio,a slight natural smile
models,m_cauz_30s_avg__021,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain black t-shirt and blue jeans, full body, head to feet, near profile view, hard directional sunlight, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,hard directional sunlight,blurred outdoor street,a slight natural smile
models,m_cauz_30s_avg__022,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, shot from slightly above eye level, strong side light, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,strong side light,blurred plain interior,a slight natural smile
models,m_cauz_30s_avg__023,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain grey knit top and black trousers, full body, head to feet, shot from slightly below eye level, rim light from behind, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,rim light from behind,soft gradient backdrop,a slight natural smile
models,m_cauz_30s_avg__024,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain olive shirt and dark jeans, full body, head to feet, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,soft diffused daylight,plain light grey studio backdrop,a slight natural smile
models,m_cauz_30s_avg__025,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,a slight natural smile
models,m_cauz_30s_avg__026,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain black t-shirt and blue jeans, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,a slight natural smile
models,m_cauz_30s_avg__027,m_cauz_30s_avg,"photorealistic photograph of a Central Asian man in his early 30s, average build, tan skin, short dark hair with a trimmed beard, a square face and heavy brows, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,a slight natural smile
